Date,Category,Product_ID,Units_Sold,Price,Total_Sales
2023-01-01,Electronics,PROD_ELE_120,21,822.38,17269.88
2023-01-01,Home Appliances,PROD_HOM_314,14,397.83,5569.67
2023-01-01,Clothing,PROD_CLO_443,19,47.78,907.86
2023-01-01,Accessories,PROD_ACC_485,22,26.1,574.12
2023-01-02,Electronics,PROD_ELE_352,14,808.93,11325.05
2023-01-02,Home Appliances,PROD_HOM_574,14,380.92,5332.91
2023-01-02,Clothing,PROD_CLO_882,11,52.37,576.06
2023-01-02,Accessories,PROD_ACC_662,18,23.98,431.58
2023-01-03,Electronics,PROD_ELE_918,13,763.72,9928.31
2023-01-03,Home Appliances,PROD_HOM_266,10,386.82,3868.21
2023-01-03,Clothing,PROD_CLO_439,5,47.99,239.94
2023-01-03,Accessories,PROD_ACC_554,17,24.85,422.46
2023-01-04,Electronics,PROD_ELE_661,8,832.75,6661.97
2023-01-04,Home Appliances,PROD_HOM_489,12,410.21,4922.57
2023-01-04,Clothing,PROD_CLO_829,18,52.35,942.26
2023-01-04,Accessories,PROD_ACC_369,13,26.1,339.28
2023-01-05,Electronics,PROD_ELE_801,14,775.68,10859.5
2023-01-05,Home Appliances,PROD_HOM_848,14,413.78,5792.94
2023-01-05,Clothing,PROD_CLO_287,17,52.33,889.55
2023-01-05,Accessories,PROD_ACC_256,15,24.44,366.6
2023-01-06,Electronics,PROD_ELE_478,7,823.21,5762.5
2023-01-06,Home Appliances,PROD_HOM_140,10,417.05,4170.52
2023-01-06,Clothing,PROD_CLO_827,8,49.05,392.44
2023-01-06,Accessories,PROD_ACC_971,8,25.57,204.59
2023-01-07,Electronics,PROD_ELE_561,9,769.57,6926.11
2023-01-07,Home Appliances,PROD_HOM_317,6,410.43,2462.59
2023-01-07,Clothing,PROD_CLO_114,14,50.11,701.59
2023-01-07,Accessories,PROD_ACC_560,16,23.81,381.02
2023-01-08,Electronics,PROD_ELE_195,6,785.15,4710.89
2023-01-08,Home Appliances,PROD_HOM_506,10,416.3,4163.03
2023-01-08,Clothing,PROD_CLO_259,27,48.64,1313.39
2023-01-08,Accessories,PROD_ACC_185,17,24.47,416.06
2023-01-09,Electronics,PROD_ELE_745,19,810.67,15402.77
2023-01-09,Home Appliances,PROD_HOM_655,18,412.15,7418.64
2023-01-09,Clothing,PROD_CLO_572,18,48.11,865.99
2023-01-09,Accessories,PROD_ACC_484,10,26.02,260.17
2023-01-10,Electronics,PROD_ELE_358,7,788.21,5517.44
2023-01-10,Home Appliances,PROD_HOM_510,8,386.59,3092.69
2023-01-10,Clothing,PROD_CLO_763,4,48.85,195.39
2023-01-10,Accessories,PROD_ACC_771,18,24.17,435.07
2023-01-11,Electronics,PROD_ELE_541,6,765.19,4591.15
2023-01-11,Home Appliances,PROD_HOM_906,8,389.88,3119.0
2023-01-11,Clothing,PROD_CLO_798,2,52.49,104.98
2023-01-11,Accessories,PROD_ACC_319,4,26.19,104.77
2023-01-12,Electronics,PROD_ELE_829,5,802.47,4012.37
2023-01-12,Home Appliances,PROD_HOM_935,10,389.68,3896.82
2023-01-12,Clothing,PROD_CLO_379,4,51.14,204.56
2023-01-12,Accessories,PROD_ACC_297,8,25.33,202.65
2023-01-13,Electronics,PROD_ELE_286,6,772.06,4632.34
2023-01-13,Home Appliances,PROD_HOM_870,9,407.83,3670.49
2023-01-13,Clothing,PROD_CLO_610,10,51.06,510.56
2023-01-13,Accessories,PROD_ACC_810,7,24.62,172.35
2023-01-14,Electronics,PROD_ELE_740,15,834.94,12524.08
2023-01-14,Home Appliances,PROD_HOM_572,16,393.64,6298.28
2023-01-14,Clothing,PROD_CLO_863,19,48.79,927.0
2023-01-14,Accessories,PROD_ACC_671,15,26.21,393.08
2023-01-15,Electronics,PROD_ELE_332,19,775.1,14726.83
2023-01-15,Home Appliances,PROD_HOM_307,9,408.01,3672.13
2023-01-15,Clothing,PROD_CLO_519,23,52.18,1200.1
2023-01-15,Accessories,PROD_ACC_353,14,25.42,355.91
2023-01-16,Electronics,PROD_ELE_780,10,795.87,7958.74
2023-01-16,Home Appliances,PROD_HOM_900,6,408.49,2450.92
2023-01-16,Clothing,PROD_CLO_234,7,50.75,355.24
2023-01-16,Accessories,PROD_ACC_132,6,25.39,152.36
2023-01-17,Electronics,PROD_ELE_849,11,781.22,8593.38
2023-01-17,Home Appliances,PROD_HOM_464,26,418.92,10891.93
2023-01-17,Clothing,PROD_CLO_897,19,51.47,978.01
2023-01-17,Accessories,PROD_ACC_580,4,25.19,100.77
2023-01-18,Electronics,PROD_ELE_291,7,805.76,5640.32
2023-01-18,Home Appliances,PROD_HOM_271,4,381.74,1526.98
2023-01-18,Clothing,PROD_CLO_448,12,52.27,627.18
2023-01-18,Accessories,PROD_ACC_706,5,25.13,125.66
2023-01-19,Electronics,PROD_ELE_422,9,781.48,7033.3
2023-01-19,Home Appliances,PROD_HOM_834,4,402.27,1609.09
2023-01-19,Clothing,PROD_CLO_485,12,50.09,601.1
2023-01-19,Accessories,PROD_ACC_492,15,25.6,384.03
2023-01-20,Electronics,PROD_ELE_637,13,783.72,10188.37
2023-01-20,Home Appliances,PROD_HOM_507,8,390.25,3121.99
2023-01-20,Clothing,PROD_CLO_119,13,50.64,658.31
2023-01-20,Accessories,PROD_ACC_499,5,23.93,119.64
2023-01-21,Electronics,PROD_ELE_150,14,813.76,11392.67
2023-01-21,Home Appliances,PROD_HOM_289,15,386.2,5793.02
2023-01-21,Clothing,PROD_CLO_781,15,48.75,731.27
2023-01-21,Accessories,PROD_ACC_543,10,24.51,245.08
2023-01-22,Electronics,PROD_ELE_104,25,777.27,19431.64
2023-01-22,Home Appliances,PROD_HOM_976,13,383.41,4984.38
2023-01-22,Clothing,PROD_CLO_919,8,50.69,405.5
2023-01-22,Accessories,PROD_ACC_205,19,26.17,497.3
2023-01-23,Electronics,PROD_ELE_157,23,794.68,18277.68
2023-01-23,Home Appliances,PROD_HOM_573,10,390.03,3900.34
2023-01-23,Clothing,PROD_CLO_850,10,52.08,520.76
2023-01-23,Accessories,PROD_ACC_217,7,24.35,170.45
2023-01-24,Electronics,PROD_ELE_288,10,811.06,8110.62
2023-01-24,Home Appliances,PROD_HOM_680,13,406.28,5281.7
2023-01-24,Clothing,PROD_CLO_534,9,50.33,452.97
2023-01-24,Accessories,PROD_ACC_384,10,24.05,240.5
2023-01-25,Electronics,PROD_ELE_440,13,821.07,10673.9
2023-01-25,Home Appliances,PROD_HOM_353,14,393.85,5513.93
2023-01-25,Clothing,PROD_CLO_199,5,52.25,261.23
2023-01-25,Accessories,PROD_ACC_861,5,24.4,122.01
2023-01-26,Electronics,PROD_ELE_615,12,812.7,9752.35
2023-01-26,Home Appliances,PROD_HOM_357,13,417.76,5430.82
2023-01-26,Clothing,PROD_CLO_789,15,51.5,772.57
2023-01-26,Accessories,PROD_ACC_790,6,25.36,152.15
2023-01-27,Electronics,PROD_ELE_941,5,836.9,4184.48
2023-01-27,Home Appliances,PROD_HOM_496,17,387.83,6593.14
2023-01-27,Clothing,PROD_CLO_134,14,47.97,671.61
2023-01-27,Accessories,PROD_ACC_875,9,23.93,215.35
2023-01-28,Electronics,PROD_ELE_716,31,825.16,25579.88
2023-01-28,Home Appliances,PROD_HOM_600,12,384.73,4616.72
2023-01-28,Clothing,PROD_CLO_376,18,51.18,921.16
2023-01-28,Accessories,PROD_ACC_493,21,24.46,513.56
2023-01-29,Electronics,PROD_ELE_647,12,839.24,10070.88
2023-01-29,Home Appliances,PROD_HOM_195,5,390.0,1950.0
2023-01-29,Clothing,PROD_CLO_794,13,48.69,633.01
2023-01-29,Accessories,PROD_ACC_966,21,25.6,537.6
2023-01-30,Electronics,PROD_ELE_118,12,783.81,9405.73
2023-01-30,Home Appliances,PROD_HOM_544,5,382.14,1910.7
2023-01-30,Clothing,PROD_CLO_466,8,50.37,402.94
2023-01-30,Accessories,PROD_ACC_495,8,23.98,191.83
2023-01-31,Electronics,PROD_ELE_243,10,835.7,8356.96
2023-01-31,Home Appliances,PROD_HOM_792,10,384.54,3845.39
2023-01-31,Clothing,PROD_CLO_262,15,47.78,716.69
2023-01-31,Accessories,PROD_ACC_942,11,25.11,276.26
2023-02-01,Electronics,PROD_ELE_273,19,827.08,15714.49
2023-02-01,Home Appliances,PROD_HOM_492,20,388.9,7778.06
2023-02-01,Clothing,PROD_CLO_521,10,50.07,500.67
2023-02-01,Accessories,PROD_ACC_464,7,25.2,176.42
2023-02-02,Electronics,PROD_ELE_400,23,832.62,19150.16
